group,file,value,total_weight,num_items,num_packed,is_optimal,time_sec
05SubsetSum,05SubsetSum/n00100/R01000/s042.kp,23764,23764,100,51,yes,0.0
05SubsetSum,05SubsetSum/n00200/R10000/s089.kp,494814,494814,200,97,yes,0.0
05SubsetSum,05SubsetSum/n00100/R10000/s075.kp,257206,257206,100,55,yes,0.0
06UncorrelatedWithSimilarWeights,06UncorrelatedWithSimilarWeights/n00100/R10000/s036.kp,37038,4902612,100,49,yes,0.02
06UncorrelatedWithSimilarWeights,06UncorrelatedWithSimilarWeights/n00100/R01000/s057.kp,36491,4902036,100,49,yes,0.15
06UncorrelatedWithSimilarWeights,06UncorrelatedWithSimilarWeights/n00500/R10000/s015.kp,193164,24712485,500,247,no,60.0
06UncorrelatedWithSimilarWeights,06UncorrelatedWithSimilarWeights/n00100/R01000/s016.kp,34448,4902554,100,49,yes,0.09
06UncorrelatedWithSimilarWeights,06UncorrelatedWithSimilarWeights/n00200/R10000/s079.kp,72893,9904794,200,99,yes,0.0
07SpannerUncorrelated,07SpannerUncorrelated/n00200/R10000/s086.kp,257402,272438,200,66,no,60.0
07SpannerUncorrelated,07SpannerUncorrelated/n00200/R10000/s074.kp,474067,62521,200,95,no,60.0
07SpannerUncorrelated,07SpannerUncorrelated/n00100/R01000/s014.kp,14616,19720,100,41,no,60.0
07SpannerUncorrelated,07SpannerUncorrelated/n00100/R10000/s044.kp,166738,119134,100,68,no,60.03
07SpannerUncorrelated,07SpannerUncorrelated/n00200/R10000/s038.kp,356510,214060,200,147,no,60.0
08SpannerWeaklyCorrelated,08SpannerWeaklyCorrelated/n00100/R10000/s099.kp,101479,76526,100,62,no,60.0
08SpannerWeaklyCorrelated,08SpannerWeaklyCorrelated/n00500/R01000/s088.kp,147957,36708,500,319,no,60.0
08SpannerWeaklyCorrelated,08SpannerWeaklyCorrelated/n00500/R01000/s047.kp,89892,49470,500,264,no,60.0
08SpannerWeaklyCorrelated,08SpannerWeaklyCorrelated/n00100/R01000/s012.kp,20568,12719,100,59,no,60.0
08SpannerWeaklyCorrelated,08SpannerWeaklyCorrelated/n00500/R01000/s034.kp,185746,71327,500,257,yes,59.38
09SpannerStronglyCorrelated,09SpannerStronglyCorrelated/n00200/R10000/s075.kp,757342,215342,200,101,no,60.0
09SpannerStronglyCorrelated,09SpannerStronglyCorrelated/n00100/R10000/s039.kp,372530,65530,100,61,no,60.0
09SpannerStronglyCorrelated,09SpannerStronglyCorrelated/n00200/R10000/s016.kp,798712,199712,200,113,yes,60.05
09SpannerStronglyCorrelated,09SpannerStronglyCorrelated/n00100/R10000/s058.kp,417829,92829,100,63,no,60.0
09SpannerStronglyCorrelated,09SpannerStronglyCorrelated/n00500/R10000/s037.kp,2449482,455482,500,366,yes,59.43
10MultipleStronglyCorrelated,10MultipleStronglyCorrelated/n00200/R01000/s070.kp,80212,49212,200,140,yes,0.04
10MultipleStronglyCorrelated,10MultipleStronglyCorrelated/n00500/R10000/s007.kp,1981090,1188090,500,351,no,60.0
10MultipleStronglyCorrelated,10MultipleStronglyCorrelated/n00500/R10000/s085.kp,1978402,1209402,500,350,no,60.0
10MultipleStronglyCorrelated,10MultipleStronglyCorrelated/n00100/R01000/s037.kp,39728,24228,100,69,yes,0.02
10MultipleStronglyCorrelated,10MultipleStronglyCorrelated/n00100/R10000/s007.kp,389831,232831,100,70,yes,0.0
11ProfitCeiling,11ProfitCeiling/n00200/R10000/s052.kp,505203,505222,200,83,no,60.0
11ProfitCeiling,11ProfitCeiling/n00200/R01000/s034.kp,52860,52878,200,91,yes,0.02
11ProfitCeiling,11ProfitCeiling/n00500/R01000/s020.kp,118389,118448,500,209,no,60.0
11ProfitCeiling,11ProfitCeiling/n00100/R01000/s091.kp,27042,27054,100,44,yes,0.01
11ProfitCeiling,11ProfitCeiling/n00200/R10000/s048.kp,477954,477965,200,79,yes,0.62
12Circle,12Circle/n00100/R01000/s050.kp,519375,24649,100,36,yes,0.0
12Circle,12Circle/n00200/R01000/s060.kp,993306,47141,200,73,yes,0.03
12Circle,12Circle/n00100/R10000/s017.kp,17728703,265944,100,38,yes,1.01
12Circle,12Circle/n00100/R10000/s021.kp,16964007,254473,100,37,no,60.0
12Circle,12Circle/n00200/R10000/s062.kp,32860537,492933,200,76,no,60.0
